Run Time,Comparisons,Swaps
Unsorted,,
3702,499347,249675
3043,499347,249675
2907,499347,249675
2899,499347,249675
2433,499347,249675
2416,499347,249675
2251,499347,249675
2106,499347,249675
2105,499347,249675
2114,499347,249675
Sorted,,
6,999,0
4,999,0
4,999,0
4,999,0
3,999,0
3,999,0
3,999,0
3,999,0
3,999,0
3,999,0
