Run Time,Comparisons,Swaps
Unsorted,,
51848,25058794,25048802
51659,25058794,25048802
51716,25058794,25048802
51705,25058794,25048802
51756,25058794,25048802
51905,25058794,25048802
52685,25058794,25048802
52253,25058794,25048802
51860,25058794,25048802
51943,25058794,25048802
Sorted,,
20,9999,0
20,9999,0
20,9999,0
20,9999,0
20,9999,0
21,9999,0
20,9999,0
21,9999,0
20,9999,0
20,9999,0
